,Unnamed: 0,FILE TYPE,SKU,AVAILABLE,QTY,NEXT AVAILABLE QTY,NEXT AVAILABLE DATE,MANUFACTURER,MANUFACTURER SKU,DESCRIPTION,UNIT COST,UNIT COST 2,UNIT COST 3,UNIT COST 4,DISCONTINUED,DISCONTINUED DATE,AVAILABILITY START DATE,AVAILABILITY END DATE,MIN DAYS TO SHIP,MAX DAYS TO SHIP,CONDITION CODE,MERCH. DEPT.,UNIT OF MEASURE,MERCHANT SKU,MERCHANT,GS1 ID,Warehouse 1 ID,Warehouse 1 QTY,Warehouse 1 Next Available QTY,Warehouse 1 Next Available Date,Warehouse 2 ID,Warehouse 2 QTY,Warehouse 2 Next Available QTY,Warehouse 2 Next Available DATE,Warehouse 3 ID,Warehouse 3 QTY,Warehouse 3 Next Available QTY,Warehouse 3 Next Available DATE,Warehouse 4 ID,Warehouse 4 QTY,Warehouse 4 Next Available QTY,Warehouse 4 Next Available Date,Warehouse 5 ID,Warehouse 5 QTY,Warehouse 5 Next Available QTY
0,0,IN,K1136-#44,No,0,,,,,Parsons Red and Cream Toile Upholstered Dining Chair,,,,,,,,,,,,,,307976282,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
1,1,IN,K1136-F662,No,0,,,,,Parsons Chocolate Brown and Blue Damask Upholstered Dining Chair,,,,,,,,,,,,,,307976283,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
2,2,IN,K1136-F765,Yes,105,,,,,Parsons Red and Gold Damask Upholstered Dining Chair,,,,,,,,,,,,,,307976278,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
3,3,IN,K1136-F772,Yes,43,,,,,Parsons Brown Textured Solid Woven Upholstered Dining Chair,,,,,,,,,,,,,,307976280,THEHOMEDEPOT,,KFHQ,10,,,KFNJ,0,,,,,,,,,,,,,
4,4,IN,K1136-F975,Yes,20,,,,,Parsons Textured Sage Floral Chenille Upholstered Dining Chair,,,,,,,,,,,,,,307976272,THEHOMEDEPOT,,KFHQ,10,,,KFNJ,0,,,,,,,,,,,,,
5,5,IN,K1401.29-F772,No,0,,,,,,,,,,,,,,,,,,,302552106,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
6,6,IN,K1401-24-E073,Yes,49,,,,,luxury blackless 24 in. Black Bar Stool,,,,,,,,,,,,,,306903952,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
7,7,IN,K1401-24-E074,Yes,10,,,,,luxury brownless 24 in. Brown and Tan Bar Stool,,,,,,,,,,,,,,306903953,THEHOMEDEPOT,,KFHQ,10,,,KFNJ,0,,,,,,,,,,,,,
8,8,IN,K1401-29-E073,Yes,52,,,,,luxury blackless 29 in. Black Bar Stool,,,,,,,,,,,,,,306903948,THEHOMEDEPOT,,KFHQ,20,,,KFNJ,0,,,,,,,,,,,,,
9,9,IN,K1401-29-E074,No,0,,,,,luxury brownless 29 in. Brown Bar Stool,,,,,,,,,,,,,,306903950,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
10,10,IN,K2380-E155,Yes,163,,,,,Luxury Large Brown Faux Leather Ottoman with Storage 15.75 in. Height X 28 in. Width X 28 in. Depth,,,,,,,,,,,,,,314981726,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
11,11,IN,K2380-E169,No,0,,,,,,,,,,,,,,,,,,,303707203,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
