Name,Description,Location,Location On Hand,Location Committed,Location Available
001775972,"Leather Storage Bench with tray, Brown 
",KFHQ,105,,105
001775972,"Leather Storage Bench with tray, Brown 
",KFNJ,,,
001775972,"Leather Storage Bench with tray, Brown 
",KFHQ : KFHQQU,,,
001776000,"LE STRG BC TRY,BLK  
",KFHQ,104,,104
001776000,"LE STRG BC TRY,BLK  
",KFHQ : KFHQQU,,,
001776000,"LE STRG BC TRY,BLK  
",KFNJ,,,
097-15-0030,K8210R2410,KFNJ,,,
097-15-0030,K8210R2410,KFHQ,,,
097-15-0035,Twin Upholstered -Bed - Peach K8210R2409Â ,KFNJ,,,
097-15-0035,Twin Upholstered -Bed - Peach K8210R2409Â ,KFHQ,,,
097-15-0041,Twin Upholstered -Bed - Gray K8210F2410,KFNJ,,,
097-15-0041,Twin Upholstered -Bed - Gray K8210F2410,KFHQ,,,
097-15-2385,Twin Upholstered Head-Board - Cream K8209F2407,KFHQ,,,
097-15-2385,Twin Upholstered Head-Board - Cream K8209F2407,KFNJ,,,
097-15-4997,Twin Upholstered -Bed - Peach K8210F2409,KFNJ,,,
097-15-4997,Twin Upholstered -Bed - Peach K8210F2409,KFHQ,,,
097-15-6020,Twin Upholstered Head-Board - Gray K8209F2410,KFHQ,,,
097-15-6020,Twin Upholstered Head-Board - Gray K8209F2410,KFNJ,,,
097-15-8781,Twin Upholstered Head-Board - -Blue K8209F2408,KFNJ,,,
097-15-8781,Twin Upholstered Head-Board - -Blue K8209F2408,KFHQ,,,
124161616,JASMINE OTTOMAN NAT LINEN,KFHQ,,,
124161616,JASMINE OTTOMAN NAT LINEN,KFNJ,,,
124161617,JASMINE OTTOMAN CHAR LINEN,KFHQ,,,
124161617,JASMINE OTTOMAN CHAR LINEN,KFNJ,,,
124247094,STORAGE OTTO GREY,KFHQ,,,
124247094,STORAGE OTTO GREY,KFNJ,,,
124262596,ADORE PINK TUFTED OTTOMAN,KFHQ,,,
124262596,ADORE PINK TUFTED OTTOMAN,KFNJ,,,
124265607,LINDSEY FUR GLD MTL OTTO,KFHQ,,,
124265607,LINDSEY FUR GLD MTL OTTO,KFNJ,,,
124288481,ROXBURY STRIPED BENCH,KFHQ,,,
124288481,ROXBURY STRIPED BENCH,KFNJ,,,
249-01-0009,"Saddle Stool 29"" Gray  K6411F1549",KFHQ,,,
249-01-0009,"Saddle Stool 29"" Gray  K6411F1549",KFNJ,,,
249-01-0011,"Saddle Stool 24"" Gray  K6643F1549",KFHQ,,,
249-01-0011,"Saddle Stool 24"" Gray  K6643F1549",KFHQ : KFHQQU,,,
249-01-0011,"Saddle Stool 24"" Gray  K6643F1549",KFNJ : KFNJQU,,,
249-01-0011,"Saddle Stool 24"" Gray  K6643F1549",KFNJ,,,
249-01-0027,TH -Barstool CognacK8126E899,KFHQ,,,
249-01-0027,TH -Barstool CognacK8126E899,KFNJ,,,
249-01-0240,Saddle  Counterstool  K6643F1507,KFNJ,,,
249-01-0240,Saddle  Counterstool  K6643F1507,KFHQ,,,
249-01-0241,Saddle -Barstool K6411F1507,KFNJ,,,
249-01-0241,Saddle -Barstool K6411F1507,KFHQ,,,
249-01-0345,Tru-Beck Square Metal & Upholstered Counter Stool - Grey Velvet w -Brass - Project 62 K8186-B301,KFNJ,,,
249-01-0345,Tru-Beck Square Metal & Upholstered Counter Stool - Grey Velvet w -Brass - Project 62 K8186-B301,KFHQ,,,
249-01-1794,Saddle counter stool  K6643-F2050,KFNJ,,,
249-01-1794,Saddle counter stool  K6643-F2050,KFHQ,,,
249-01-1796,saddle counter stool K6643F1507,KFHQ,,,
249-01-1796,saddle counter stool K6643F1507,KFNJ,,,
249-01-1810,Saddle stool K6411F1507,KFNJ,,,
249-01-1810,Saddle stool K6411F1507,KFHQ,,,
249-01-1943,TH Hot Coffee Counter stool K8028E833,KFNJ,,,
249-01-1943,TH Hot Coffee Counter stool K8028E833,KFHQ,,,
249-01-1966,TH Light Grey Counter stool K8028F1549,KFHQ,,,
249-01-1966,TH Light Grey Counter stool K8028F1549,KFNJ,,,
249-01-1967,TH -Barstool Grey K8027F1549,KFNJ,,,
249-01-1967,TH -Barstool Grey K8027F1549,KFHQ,,,
249-01-1970,Counter stool K8028E861,KFNJ,,,
249-01-1970,Counter stool K8028E861,KFHQ,,,
249-01-1971,TH Chocolate -Barstoo lK8027E861,KFNJ,,,
249-01-1971,TH Chocolate -Barstoo lK8027E861,KFHQ,,,
249-01-2323,#NAME?,KFNJ,,,
249-01-2323,#NAME?,KFHQ,,,
249-01-2580,Swival counter stool K8077F1549,KFHQ,,,
249-01-2580,Swival counter stool K8077F1549,KFNJ,,,
249-01-3215,TH Counter stool GreyK8125E903,KFNJ,,,
249-01-3215,TH Counter stool GreyK8125E903,KFHQ,,,
249-01-4175,Lowell Modified Wing-Back  Counter Stool -  Gray - Threshold K8124F2253,KFNJ,,,
249-01-4175,Lowell Modified Wing-Back  Counter Stool -  Gray - Threshold K8124F2253,KFHQ,,,
249-01-4176,Lowell Modified Wing-Back Counter Stool -  Navy - Threshold K8124F2254,KFNJ,,,
249-01-4176,Lowell Modified Wing-Back Counter Stool -  Navy - Threshold K8124F2254,KFHQ,,,
249-01-4179,Parsons -Barstool with -Buttons-Dark Gray K8126F2253,KFNJ,,,
249-01-4179,Parsons -Barstool with -Buttons-Dark Gray K8126F2253,KFHQ,,,
249-01-4180,Parsons -Barstool with -Buttons-Teal K8126F2256,KFHQ,,,
249-01-4180,Parsons -Barstool with -Buttons-Teal K8126F2256,KFNJ,,,
249-01-4182,Parsons -Barstool with -Buttons-Light Gray K8126F2255,KFNJ,,,
