HDR,20210328,20210329,OSHQ,13824 Yorba Ave,Unnamed: 5,Chino,CA,91710,USA,Unnamed: 10
DET,1,K1401-24-E074,,41869009,"24"" COUNTER STOOL",OS,0,EA,62.95,20220402.0
DET,2,K1401-29-E073,,41869017,"29"" BARSTOOL",AV,42,EA,64.1,
DET,3,K2380-E155,,41869108,LRG OTTOMAN BRWN LTHR,AV,49,EA,85.67,20220416.0
DET,4,K2380-E903,,56246002,LARGE STORAGE OTTOMAN,OS,0,EA,97.68,20220327.0
DET,5,K2380-F1399,,60274263,Large Storage Ottoman in Tan,AV,10,EA,86.0,
DET,6,K2380-YDQY-2,,56246028,LARGE STORAGE OTTOMAN,AV,20,EA,97.68,20220327.0
DET,7,K2984-F2322,,52854320,ANYWHERE CHAIR,AV,35,EA,155.61,
DET,8,K4286-E844,,46842597,FAUX LEATHER COUNTER STOOL,OS,0,EA,45.78,20220418.0
DET,9,K4600-E155,,41868654,TWIN HDBD CHOCO,AV,20,EA,68.67,20220201.0
DET,10,K4638-F2114,,58449737,ACCENT CHAIR,AV,20,EA,81.75,
DET,11,K4638-F2231,,58449745,ACCENT CHAIR,AV,10,EA,88.13,20220301.0
DET,12,K4638-F2262,,58449752,ACCENT CHAIR,OS,0,EA,88.13,20220416.0
DET,13,K4638-F2398,,58449760,ACCENT CHAIR,OS,0,EA,81.75,20220327.0
DET,14,K4638-F2399,,58449778,ACCENT CHAIR,AV,20,EA,81.75,
DET,15,K4710-E903,,56245897,STORAGE OTTOMAN,AV,20,EA,61.86,
DET,16,K4710-YDQY-2,,56245905,STORAGE OTTOMAN,OS,0,EA,61.86,20211201.0
DET,17,K5420-F1423,,41869157,STORAGE OTTOMAN,AV,108,EA,40.06,
DET,18,K5506-F1210,,41868761,PARSONS DINING CHR SEAFOAM,OS,0,EA,122.38,20220416.0
DET,19,K5508-E676,,41869348,WINSTON STORAGE OTTO BLK,AV,77,EA,94.56,
DET,20,K5618-B219 (Y091),,46842381,BLUE JUVENILE CHAISE LOUNGE,OS,0,EA,101.75,20220201.0
DET,21,K5618-B220 (Y091),,46843199,PINK JUVENILE CHAISE LOUNGE,OS,0,EA,101.75,20220201.0
DET,22,K5668NP-A848,,60274271,Large Storage Bench in Navy,OS,0,EA,89.0,20220301.0
DET,23,K5668NP-F1289,,41869363,STORAGE BENCH W/NAILHEAD,AV,38,EA,75.76,
DET,24,K6138-F2205,,51708527,STORAGE BENCH,AV,50,EA,105.34,
DET,25,K6138-F2206,,51708964,STORAGE BENCH,AV,20,EA,105.34,
DET,26,K6138-F2207,,51709061,STORAGE BENCH,AV,49,EA,105.34,
DET,27,K6138-YDQY2,,54834981,STORAGE BENCH,AV,20,EA,114.0,
DET,28,K6159-A869,,60274289,Large Storage Bench in Cream,AV,10,EA,121.0,
DET,29,K6159-E697,,56246051,LARGE STORAGE BENCH,OS,0,EA,131.1,20220416.0
DET,30,K6159-E903,,56246036,LARGE STORAGE BENCH,AV,10,EA,119.7,20220201.0
DET,31,K6159-F1332,,41869389,STORAGE BENCH GREY CHENILLE,AV,156,EA,95.76,
DET,32,K6159-F1399,,41869397,STORAGE BENCH TAN,AV,126,EA,95.76,
DET,33,K6159-F2205,,51706190,STORAGE BENCH,AV,20,EA,131.1,
DET,34,K6159-F2207,,51705903,STORAGE BENCH,AV,51,EA,119.7,
DET,35,K6159-F2208,,51706208,STORAGE BENCH,OS,0,EA,119.7,20220501.0
DET,36,K6159-F2346,,54834999,LRG STORAGE BENCH,AV,10,EA,114.0,
DET,37,K6159-F765,,60274305,Large Storage Bench in Orange,AV,20,EA,121.0,20220327.0
DET,38,K6159-YDQY-2,,56246044,LARGE STORAGE BENCH,AV,20,EA,119.7,
DET,39,K6171-A860,,60274396,Storage Ottoman in Cream,OS,0,EA,57.0,20220408.0
DET,40,K6171-B117,,41869181,LRG RND STORAGE OTTOMAN,AV,86,EA,51.5,
DET,41,K6171-B119,,41869199,LRG RND STORAGE OTTOMAN RED,OS,0,EA,51.5,20220501.0
DET,42,K6171-B204,,41869215,LRG RND STORAGE OTTOMAN RED,AV,32,EA,51.5,20220501.0
DET,43,K6171-B215,,46842241,VLVT TFTD BLUE RND OTTMN STRGE,AV,213,EA,54.07,
DET,44,K6189-F1370,,41869405,TUFT STORAGE BENCH GREY,AV,40,EA,95.76,
DET,45,K6206-F409,,41869330,BUTTON TUFT STORAGE OTTO RED,OS,0,EA,107.73,20220402.0
