Name,Description,Location,Location On Hand,Location Committed,Location Available
001775972,"Leather Storage Bench with tray, Brown 
",KFHQ,105,,105
001775972,"Leather Storage Bench with tray, Brown 
",KFHQ : KFHQQU,,,
001775972,"Leather Storage Bench with tray, Brown 
",KFDS,,,
001775972,"Leather Storage Bench with tray, Brown 
",KFNJ,,,
001776000,"LE STRG BC TRY,BLK  
",KFHQ,104,,104
001776000,"LE STRG BC TRY,BLK  
",KFHQ : KFHQQU,,,
001776000,"LE STRG BC TRY,BLK  
",KFDS,,,
001776000,"LE STRG BC TRY,BLK  
",KFNJ,,,
097-15-0030,K8210R2410,KFNJ,,,
097-15-0030,K8210R2410,KFHQ,,,
097-15-0030,K8210R2410,KFDS,,,
097-15-0035,Twin Upholstered -Bed - Peach K8210R2409Â ,KFDS,,,
097-15-0035,Twin Upholstered -Bed - Peach K8210R2409Â ,KFNJ,,,
097-15-0035,Twin Upholstered -Bed - Peach K8210R2409Â ,KFHQ,,,
097-15-0041,Twin Upholstered -Bed - Gray K8210F2410,KFNJ,,,
097-15-0041,Twin Upholstered -Bed - Gray K8210F2410,KFDS,,,
097-15-0041,Twin Upholstered -Bed - Gray K8210F2410,KFHQ,,,
097-15-2385,Twin Upholstered Head-Board - Cream K8209F2407,KFDS,,,
097-15-2385,Twin Upholstered Head-Board - Cream K8209F2407,KFNJ,,,
097-15-2385,Twin Upholstered Head-Board - Cream K8209F2407,KFHQ,,,
097-15-4997,Twin Upholstered -Bed - Peach K8210F2409,KFNJ,,,
097-15-4997,Twin Upholstered -Bed - Peach K8210F2409,KFHQ,,,
097-15-4997,Twin Upholstered -Bed - Peach K8210F2409,KFDS,,,
097-15-6020,Twin Upholstered Head-Board - Gray K8209F2410,KFDS,,,
097-15-6020,Twin Upholstered Head-Board - Gray K8209F2410,KFNJ,,,
097-15-6020,Twin Upholstered Head-Board - Gray K8209F2410,KFHQ,,,
097-15-8781,Twin Upholstered Head-Board - -Blue K8209F2408,KFDS,,,
097-15-8781,Twin Upholstered Head-Board - -Blue K8209F2408,KFHQ,,,
097-15-8781,Twin Upholstered Head-Board - -Blue K8209F2408,KFNJ,,,
124161616,JASMINE OTTOMAN NAT LINEN,KFDS,,,
124161616,JASMINE OTTOMAN NAT LINEN,KFHQ,,,
124161616,JASMINE OTTOMAN NAT LINEN,KFNJ,,,
124161617,JASMINE OTTOMAN CHAR LINEN,KFHQ,,,
124161617,JASMINE OTTOMAN CHAR LINEN,KFDS,,,
124161617,JASMINE OTTOMAN CHAR LINEN,KFNJ,,,
124247094,STORAGE OTTO GREY,KFNJ,,,
124247094,STORAGE OTTO GREY,KFDS,,,
124247094,STORAGE OTTO GREY,KFHQ,,,
124262596,ADORE PINK TUFTED OTTOMAN,KFDS,,,
124262596,ADORE PINK TUFTED OTTOMAN,KFHQ,,,
124262596,ADORE PINK TUFTED OTTOMAN,KFNJ,,,
124265607,LINDSEY FUR GLD MTL OTTO,KFDS,,,
124265607,LINDSEY FUR GLD MTL OTTO,KFHQ,,,
124265607,LINDSEY FUR GLD MTL OTTO,KFNJ,,,
